id;cvoie;cdgi;typo;typo_min;date_arret;siecle;statut;typvoie;prevoie;nomvoie;arrdt;quartier;feuille;debut;fin;longueur;largeur;n_pair;n_impair;alignement;servitude;historique;denomination;classement;observation;numerotage;orig;declassement;nivellement;assainissement;ouverture;geo_point_2d;validite
"9181";;;IMPASSE BARRIER;impasse Barrier;;;Voie publique de la Ville de Paris;impasse;;Barrier;"[ ""12e"" ]";"[ ""Quinze-Vingts"" ]";"[ ""93D3"" ]";"rue de Citeaux, 19.";;53;5;"6";"9";Non retenus au POS et non repris au PLU : Arrêté municipal du 19 janvier 2005.;;;;Arrêté municipal du 19 janvier 2005.;;;"M. Barrier, propriétaire du terrain sur lequel la voie a été ouverte.";;Arrêté municipal du 19 janvier 2005.;;;"lat: 48.84784835776832, lon: 2.380085417995285";Dénomination actuelle
"9914";;;RUE CLER;rue Cler;1864/08/24;"19";Voie publique de la Ville de Paris;rue;;Cler;"[ ""07e"" ]";"[ ""Gros-Caillou"" ]";"[ ""88B1"", ""88B4"" ]";"rue Saint-Dominique, 111.";"avenue de la Motte-Picquet, 30.";428;13;"62";"59";"Non retenus au POS et non repris au PLU : Ordonnance du 8 février 1848, entre les rues Saint-Dominique et de Grenelle (A). Un décret du 19 mai 1913 a approuvé les alignements des pans coupés de 5 m situés aux angles de la rue Saint-Dominique. Ordonnance du 9 août 1826, partie B.";;"Précédemment, rue de l'église, antérieurement rue Neuve de l'Eglise. La partie B a été ouverte par M. Lutteroth sur ses terrains.";Décret du 24 août 1864.;;;;"Jean Joseph Gustave Cler (1814-1859), général de brigade, tué à la bataille de Magenta.";;Un décret du 19 mai 1913 a approuvé le nivellement des pans coupés de 5 m situés aux angles de la rue Saint-Dominique.;;"Ordonnance du 9 août 1826, entre la rue de Grenelle et l'avenue de La Motte-Picquet (B). La partie entre les rues Saint-Dominique et de Grenelle (A) a été formée en 1738.";"lat: 48.85734311900757, lon: 2.306121971740553";Dénomination actuelle
"11678";;;RUE DE LANCRY;rue de Lancry;1852/07/15;"19";Voie publique de la Ville de Paris;rue;de;Lancry;"[ ""10e"" ]";"[ ""Porte-Saint-Martin"" ]";"[ ""72C2"", ""72B1"" ]";"rue René Boulanger, 50.";"quai de Valmy, 83.";540;15;"62";"67";"Retenus au POS et non repris au PLU : Ordonnance royale du 31 mars 1847, au droit des nos 32 à 36, 40 à 62, 39 à 43 et 47 à 67.
Non retenus au POS et non repris au PLU : Arrêté du 2 septembre 1952, partie A. Ordonnance royale du 31 mars 1847, entre la place Jacques Bonsergent et le quai de Valmy (B), sauf au droit des nos 32 à 36, 40 à 62, 39 à 43 et 47 à 67.";;"Avant 1852, la partie B était comprise dans la rue de la Grange aux Belles. En 1945, la partie comprise entre le boulevard de Magenta et la rue Albert Thomas a été englobée dans la place Jacques Bonsergent.";"Décision ministérielle du 15 juillet 1852, réunissant la partie B à la rue de Lancry (partie A).";;"Largeur : 15 m entre la rue René Boulanger et le boulevard de Magenta (A) ; 10 m, le surplus.";;"M. Lancry, ancien propriétaire des terrains sur lesquels la rue a été ouverte.";;"Arrêté du 2 septembre 1952, partie A.";;"Lettres patentes du 22 novembre 1776, partie A (larg. : 9,74 m). Lettres patentes du 21 juin 1782, partie B (larg. : 9,74 m).";"lat: 48.87078091294311, lon: 2.3615633713582262";Dénomination actuelle
"10105";;;IMPASSE CROZATIER;impasse Crozatier;;;Voie publique de la Ville de Paris;impasse;;Crozatier;"[ ""12e"" ]";"[ ""Quinze-Vingts"" ]";"[ ""93D3"" ]";"rue Crozatier, 45.";;66;6;"6";"7";;;;;Arrêté du 25 août 1968.;;;Voisinage de la rue Crozatier.;;Arrêté du 25 août 1968.;;;"lat: 48.848310772160296, lon: 2.379929397448475";Dénomination actuelle
"10036";;;AVENUE DE CORBERA;avenue de Corbera;;;Voie publique de la Ville de Paris;avenue;de;Corbera;"[ ""12e"" ]";"[ ""Quinze-Vingts"" ]";"[ ""113B1"", ""113B2"" ]";"rue de Charenton, 131-135.";"rue Crozatier, 11-17.";102;15;"16";"7";Non retenus au POS et non repris au PLU : Arrêté du 9 juin 1931.;;"Précédemment, passage Guillaumot Lainet ; plus anciennement, passage Guillaumot.";;Arrêté du 9 juin 1931.;;;Nom de propriétaire.;;Arrêté du 9 juin 1931.;;;"lat: 48.845622076154875, lon: 2.3816887522724546";Dénomination actuelle
"13757";;;BOULEVARD DU TEMPLE;boulevard du Temple;;;Voie publique de la Ville de Paris;boulevard;du;Temple;"[ ""03e"", ""11e"" ]";"[ ""Enfants-Rouges"", ""Folie-Méricourt"" ]";"[ ""72D3"", ""72D1"" ]";"rue des Filles du Calvaire, 25.";"place de la République, 1.";405;36.5;"54";"41";"Retenus au POS et non repris au PLU : Ordonnance du 17 août 1825, au droit des nos 1 à 27 et 37 à 41.
Non retenus au POS et non repris au PLU : Ordonnance du 31 mars 1846, côté pair, entre la place Pasdeloup et le n° 8 inclus. Arrêté du 13 août 1974, au droit des nos 22 à 48 (A). Décret du 29 août 1857 (UP), côté pair, faisant suite à l'alignement précédent jusqu'à la place de la République. Ordonnance du 17 août 1825, le surplus, sauf au droit des nos 1 à 27 et 37 à 41.
Retenus au PSMV du Marais : Ordonnance du 17 août 1825, au droit des nos 29 à 35.";;;;;;;Proximité de la Commanderie du Temple.;;"Arrêté du 13 août 1974, au droit des nos 22 à 48.";;Arrêt du Conseil du Roi du 7 juin 1656.;"lat: 48.86475776258241, lon: 2.365770882484525";Dénomination actuelle
"12064";;;PLACE DU MARCHE SAINT-HONORE;place du Marché Saint-Honoré;1950/11/06;"20";Voie publique de la Ville de Paris;place;du;Marché Saint-Honoré;"[ ""01e"" ]";"[ ""Place Vendôme"" ]";"[ ""70C2"" ]";"rue du Marché Saint-Honoré, entre les nos 13 et 35.";;125;77;"58";"51";Non retenus au POS et non repris au PLU : Ordonnance royale du 4 octobre 1826.;;"Précédemment place du Marché des Jacobins. Un arrêté du 8 juin 1946, rapporté par un autre arrêté du 6 novembre 1950, lui avait attribué le nom de place Robespierre.";Arrêté préfectoral du 6 novembre 1950.;;;;Le marché Saint-Honoré est situé sur cette place.;Délibération du 10 juillet 1989.;;;Décision ministérielle du 31 janvier 1807.;"lat: 48.8670269315717, lon: 2.3317994719503705";Dénomination actuelle
"11892";;;CITE DE LONDRES;cité de Londres;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;cité;de;Londres;"[ ""09e"" ]";"[ ""Saint-Georges"" ]";"[ ""50C3"", ""50C4"" ]";"rue Saint-Lazare, 84.";"rue de Londres, 13.";115;3;"6";"5";;;;;;;;Voisinage de la rue de Londres.;;;;;"lat: 48.876524054648726, lon: 2.329266291794181";Dénomination actuelle
"9928";;;RUE DU CLOITRE NOTRE-DAME;rue du Cloître Notre-Dame;;;Voie publique de la Ville de Paris;rue;du;Cloître Notre-Dame;"[ ""04e"" ]";"[ ""Notre-Dame"" ]";"[ ""91D2"", ""91D1"" ]";"quai de l'Archevêché, et quai aux Fleurs, 1.";"parvis Notre-Dame-place Jean-Paul II et rue d'Arcole, 23.";223;15;"22";;"Non retenus au POS et non repris au PLU : Décret du 22 mai 1865 (UP), côté pair.";;"La partie comprise entre le quai de l'Archevêché et la rue Chanoinesse s'est appelée rue Bossuet. Pendant la Révolution, rue du Cloître de la Raison.";;;;Arrêté du 4 avril 1899 (nos 2 à 6 ter).;La partie de cette voie comprise entre la rue Chanoinesse et le parvis était située dans l'ancien cloître Notre-Dame.;;;;;"lat: 48.85310754235805, lon: 2.3506986903949985";Dénomination actuelle
"13903";;;IMPASSE TRUILLOT;impasse Truillot;;;Voie publique de la Ville de Paris;impasse;;Truillot;"[ ""11e"" ]";"[ ""Saint-Ambroise"" ]";"[ ""93A2"", ""93A1"" ]";"boulevard Voltaire, 86, et rue Popincourt, 61.";;143;5;"20";"21";;;;;Arrêté du 5 mai 1970.;;;"M. Truillot, propriétaire.";"Délibération municipale du 10 et 11 mai 2010, au droit du numéro 20 (15m²).";Arrêté du 5 mai 1970.;;;"lat: 48.860268255772255, lon: 2.374321584153648";Dénomination actuelle
