Identifiant;Code voie VdP;Code voie DGFIP;Dénomination complète;Dénomination complète minuscule;Date de l'arrété;Période (Siècle);Statut de la voie;Type voie;Préposition voie;Nom voie;Arrondissement;Quartier;Feuille parcellaire;Début voie;Fin voie;Longueur voie;Largeur voie;Numéro pair;Numéro impaire;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture;geo_shape;geo_point_2d;Validité
13378;;;IMPASSE DE LA SANTE;impasse de la Santé;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;impasse;de la;Santé;13e;Croulebarbe;111C1;rue de la Santé, 17.;;112;3.0;12 (numéro unique);;;;Précédemment ruelle ou cul-de-sac de la Santé et, plus anciennement, impasse Lavocat. Le tronçon nord-sud a été supprimé en 1966.;;;;;Voisinage de la rue de la Santé.;;;;;"{""coordinates"": [[[2.3423095795357285, 48.83674855674952], [2.3423991329165545, 48.83672961287529], [2.3425253279898692, 48.836702918132815], [2.3425332593188033, 48.83670124033758], [2.3426472650086603, 48.83667506575343], [2.342773722294977, 48.836646031134684], [2.342861176539638, 48.83662595207004], [2.3429462218243993, 48.836606425411276], [2.342994064801388, 48.83659556932072], [2.3430980442332436, 48.836571975283185], [2.34322873639128, 48.83654231949317], [2.3432369506666366, 48.836540456136305], [2.343272886034541, 48.836532090556894], [2.343400704464768, 48.83650234325409], [2.343439228212727, 48.836493339791225], [2.343391309071184, 48.83643368427206], [2.343316347484749, 48.836465316344196], [2.343204401769761, 48.83651544855709], [2.3427375504336547, 48.83661965626972], [2.34248646281805, 48.83667361983195], [2.34243568840005, 48.83668453245325], [2.342424534060571, 48.83668693000554], [2.3423187410647066, 48.8367086607881], [2.3423053369621556, 48.836711414700176], [2.3422101167485248, 48.836731913826554], [2.342179190190861, 48.83671062928282], [2.342149569985139, 48.8367276847853], [2.342112401637478, 48.83674908588286], [2.34207733289906, 48.83675536305101], [2.342061699290842, 48.83675816223219], [2.3420622435896647, 48.83676339595117], [2.341969330664436, 48.836775297026755], [2.3419747375580546, 48.836819910247556], [2.3420803121552485, 48.836797054357966], [2.3420842218200755, 48.836796227758306], [2.342183843240584, 48.83677515395768], [2.3423095795357285, 48.83674855674952]]], ""type"": ""Polygon""}";48.83663945236597, 2.3427037558893398;Dénomination actuelle
9165;;;RUE DU BANQUIER;rue du Banquier;;;Voie publique de la Ville de Paris;rue;du;Banquier;13e;Salpêtrière;112C1,111D4;rue Duméril, 24.;avenue des Gobelins, 53.;390;10.0;44;39;"Non retenus au POS et non repris au PLU : Ordonnance du 27 janvier 1837 ; un arrêté du 20 mai 1966 a approuvé l'alignement, du côté pair, au droit de l'ancienne portion de la rue Oudry déclassée par cet arrêté puis supprimée. Un arrêté municipal du 1 juillet 1983 rapporte l'arrêté précité et approuve un nouvel alignement sur une longueur de 10 m entre les nos 12 et 14, à partir d'un point situé à 105 m environ de la rue Duméril. Un arrêté du 28 août 1968 a approuvé l'alignement, du côté impair, au droit de la rue Watteau déclassée par cet arrêté. Arrêté municipal du 1 juillet 1983 au droit des nos 2 à 20.";;Ancien chemin conduisant à Villejuif. Il est tracé sur le plan de Jouvin de Rochefort (1672).;;;;;Au XVIe siècle, un banquier appelé Patouillet était propriétaire en cet endroit de grands jardins s'étendant jusqu'à la Bièvre.;Arrêté municipal du 1er juillet 1983 au débouché de la rue Oudry.;;;;"{""coordinates"": [[[2.35799354720249, 48.836239339102534], [2.357908324211957, 48.836206675314], [2.3579040754630656, 48.83621116373161], [2.357810159278042, 48.83617572272674], [2.357508410543493, 48.83605787526286], [2.3575185420535454, 48.836048529496715], [2.357317234361918, 48.83596657962121], [2.357307770260738, 48.83597505297339], [2.3572490869000493, 48.83595061301593], [2.3571335216776634, 48.83590248557196], [2.3571412977477118, 48.835895452041484], [2.3567276633134733, 48.83572639106373], [2.3566320866817403, 48.835688080190565], [2.3566276720556614, 48.835686354841464], [2.3566269510352384, 48.835686822231835], [2.3565473017550875, 48.83565505621722], [2.3564950758718997, 48.83563378131592], [2.3564067378259588, 48.835597794494184], [2.3563659435310966, 48.835581175014646], [2.3563466010193634, 48.83557329499659], [2.356224465009112, 48.835523539409174], [2.356079492739559, 48.835464213797835], [2.3555868989900435, 48.83522838988052], [2.35555785144116, 48.83521575105058], [2.3555240887155295, 48.835200910336674], [2.3555080129046972, 48.83519384462044], [2.355507073099503, 48.835194707446746], [2.3554457749979303, 48.83516448484128], [2.3554331723485373, 48.835158263450715], [2.3554341251210116, 48.83515745375753], [2.3553781551857513, 48.83513010722841], [2.3553808236244906, 48.83512793974228], [2.355294294051569, 48.835087738387145], [2.3552703678890747, 48.83507586277271], [2.355119133741449, 48.835002884872125], [2.3549470138732627, 48.8349197571875], [2.3549245598611854, 48.834909040632105], [2.354838044460493, 48.834867751675155], [2.354701021458563, 48.83480364570272], [2.3546570962719815, 48.83478240306463], [2.3545597749881817, 48.834733857949885], [2.354448953035697, 48.83468024299603], [2.354356731445887, 48.83464071622216], [2.35419225972734, 48.83457043660616], [2.354042162133575, 48.83450613424632], [2.3538324593676894, 48.83441632916873], [2.353820080826406, 48.834391070071895], [2.353740717798736, 48.83451002081885], [2.3537790881884595, 48.8345019125678], [2.3538578219886346, 48.83453548865906], [2.353882020625756, 48.834545779550204], [2.3539592812092174, 48.834578638012474], [2.3540169254530396, 48.83460379081538], [2.354175634340421, 48.83467153571271], [2.3542596406209784, 48.83470690006443], [2.354331386565627, 48.834738021505196], [2.354425109393726, 48.83478317745062], [2.3544554113822014, 48.83479766883789], [2.3545169390773646, 48.83482709276729], [2.3546553921634192, 48.8348948491083], [2.354730229084154, 48.83493098117181], [2.3547522495135293, 48.83494161358209], [2.3548761938262324, 48.83500233927017], [2.355006241842033, 48.835066257219886], [2.3552918708106514, 48.83520490490656], [2.3555905948993274, 48.83534973813954], [2.3558342636319836, 48.83546903964723], [2.3559432637590305, 48.83552215869404], [2.3560248314180554, 48.83555496971906], [2.3562429765207904, 48.83564271802925], [2.3566365533849956, 48.83580148568855], [2.356867722462408, 48.83589473775842], [2.356987901297902, 48.83593970650234], [2.357246862983395, 48.83604489703121], [2.357245258209647, 48.83604654414292], [2.3573417695738454, 48.83608625984485], [2.3573432141467543, 48.83608467752502], [2.35749462787824, 48.83614524850256], [2.35749259541074, 48.83614699854598], [2.357822096235937, 48.83628080680844], [2.3580103748107564, 48.836358090106], [2.358060924500476, 48.836377960410836], [2.358203602171169, 48.836434047004296], [2.358213804262854, 48.83646289317575], [2.358282399397788, 48.83636112640066], [2.3581100147998075, 48.83629087194137], [2.35799354720249, 48.836239339102534]]], ""type"": ""Polygon""}";48.8354387044862, 2.355979642003854;Dénomination actuelle
14764;;;PLACE DE LA BERGERE D'IVRY;place de la Bergère d'Ivry;2002-11-04;21;Voie publique de la Ville de Paris;place;de la;Bergère d'Ivry;13e;Croulebarbe;131B1;à l'angle de la rue de Croulebarbe et rue Corvisart.;;;;;;;;;Arrêté municipal du 4 novembre 2002.;;;;Le 25 mai 1827, Aimée Millot, dite “la bergère d'Ivry” fut la victime  du crime passionnel commis par Honoré Ulbach dont elle avait rejeté l'amour à la demande de sa patronne.;;;;;"{""coordinates"": [[[2.34828798518948, 48.83096805459778], [2.3483370054450097, 48.83100124142342], [2.3483359256307903, 48.8310046918271], [2.3485716602309163, 48.83115825232266], [2.348573272957962, 48.83115892214513], [2.3485749658822708, 48.83115949707092], [2.348576729513716, 48.83115997345088], [2.348578548935752, 48.83116034580757], [2.348580410526601, 48.83116061406674], [2.34858229935858, 48.831160773650225], [2.3485842031720057, 48.831160824491285], [2.348586105620909, 48.83116076650085], [2.34858799307217, 48.83116060050405], [2.348589851915453, 48.83116032552741], [2.3485916684726904, 48.83115994599327], [2.348593427726193, 48.83115946451795], [2.348595117394112, 48.83115888283333], [2.34859672377581, 48.83115820716038], [2.348598235917922, 48.83115744193626], [2.34859964148201, 48.83115659338947], [2.34860092949214, 48.83115566775578], [2.3486020916965713, 48.831154671285866], [2.3486031198211914, 48.831153612029006], [2.3486040028673956, 48.83115249801965], [2.348604737998523, 48.83115133823609], [2.348605316951604, 48.831150139828274], [2.3486057368786444, 48.83114891267381], [2.348605993569655, 48.831147666642885], [2.3486060855500783, 48.83114641072109], [2.3486060127073483, 48.831145153901645], [2.3486057735559736, 48.8311439060695], [2.3486053734208365, 48.831142677146744], [2.3486048122009127, 48.83114147522717], [2.3484373260956195, 48.83078340242678], [2.3484144434048093, 48.83079458826937], [2.3483121222793573, 48.83092736541437], [2.3482876215540855, 48.83095889430915], [2.34828798518948, 48.83096805459778]]], ""type"": ""Polygon""}";48.83097650930857, 2.3484459221778398;Dénomination actuelle
13195;;;RUE RENE PANHARD;rue René Panhard;1912-08-26;20;Voie publique de la Ville de Paris;rue;;René Panhard;13e;Salpêtrière;112C2,112C1;rue des Wallons, 18.;boulevard Saint-Marcel, 19.;39;15.0;4;;;;Ouverte par la Ville de Paris sur l'emplacement de l'ancien Marché aux chevaux.;Arrêté du 16 juillet 1912, approuvé par décret du 26 août 1912.;;;;"René Panhard, (1841-1908), industriel français ; voisinage des établissements automobiles Panhard et Levassor.";;;;Ouverte en 1910.;"{""coordinates"": [[[2.3596287640208784, 48.83868813843605], [2.3593696031396134, 48.83858705884266], [2.3593909162396267, 48.83863138846809], [2.359204382478272, 48.838897971103115], [2.3591373353731155, 48.838911607831065], [2.359404050653166, 48.83899652719241], [2.3593810905877812, 48.83895482390309], [2.3594736570250356, 48.83882763228835], [2.359564905051379, 48.83870225204705], [2.3596287640208784, 48.83868813843605]]], ""type"": ""Polygon""}";48.838794927315455, 2.3593859550472405;Dénomination actuelle
10375;;;RUE DUMERIL;rue Duméril;1865-10-02;19;Voie publique de la Ville de Paris;rue;;Duméril;13e;Salpêtrière;112C1,112C3;rue Jeanne d'Arc, 177.;boulevard de l'Hôpital, 102.;270;12.0;28;32;"Non retenus au POS et non repris au PLU : Décret du 4 octobre 1849. Arrêté du 24 août 1946 (relatif à la rue Jeanne d'Arc) : 1° pan coupé, côté pair, à l'angle du boulevard Saint-Marcel ; 2° au droit du n° 15 (partie). Cet arrêté rapporte les alignements approuvés par le décret du 4 octobre 1849, côté impair, depuis la rue Jeanne d'Arc jusqu'au n° 15 (partie). Arrêté municipal du 1er juillet 1983 au droit des nos 14 à 22.";;Précédemment, partie de la rue du Marché aux Chevaux. Elle a d'abord été appelée chemin de Gentilly, puis, en 1737, rue du Gros Caillou ou du Haut Caillou. La partie entre la rue Poliveau et le boulevard Saint-Marcel a porté le nom de rue Maquignonne. Ancien chemin conduisant à Ivry, indiqué sur le plan de Braun (1530).;Décret du 2 octobre 1865.;;;;"André Marie Constant Duméril (1774-1860), naturaliste ; voisinage du jardin des Plantes.";;;;;"{""coordinates"": [[[2.3578749732938333, 48.837193673546885], [2.3579917275822737, 48.83702719349019], [2.3580076820851827, 48.83703300898516], [2.358323653108615, 48.83656142356498], [2.3583203968680913, 48.836560434780495], [2.3584022998596486, 48.83644627321274], [2.358414158691159, 48.83642974260407], [2.358441229477483, 48.836392010068536], [2.3585169149386274, 48.83628651373672], [2.3585330417106043, 48.83626403600506], [2.358580634640677, 48.83619769669966], [2.358591448164041, 48.83618262463452], [2.358601271070677, 48.836185833187145], [2.3586116037454823, 48.83617163992131], [2.358674277016144, 48.83619054880074], [2.3585328998964967, 48.83600001074405], [2.3584658093212987, 48.836094843545226], [2.3583687544851024, 48.83623512157409], [2.358282399397788, 48.83636112640066], [2.358213804262854, 48.83646289317575], [2.358177686286762, 48.83651362152995], [2.357757820022956, 48.83710332559246], [2.35760691984279, 48.83731865728578], [2.3575103183727273, 48.83745571449518], [2.3575015642470247, 48.83746813538659], [2.3574433139090036, 48.837550773722235], [2.3574274974043017, 48.837573210682265], [2.357418605961294, 48.837585825991304], [2.357331514947933, 48.83770937977478], [2.3572092368950828, 48.83788443725202], [2.3571538774246528, 48.837962711044455], [2.357086903598464, 48.83805738976869], [2.3569984200338863, 48.838182482690215], [2.3569852234495823, 48.83820113924109], [2.356945964704604, 48.83820973388432], [2.3570250680206803, 48.838234957317056], [2.3574347838738645, 48.8379229835435], [2.35737934132001, 48.837900385926915], [2.3575263298709834, 48.83769080034325], [2.3575933903238284, 48.83759518017779], [2.3578231089009525, 48.83726762790766], [2.357829438212765, 48.837258601671934], [2.3578550618539933, 48.83722206487529], [2.3578749732938333, 48.837193673546885]]], ""type"": ""Polygon""}";48.83712051332739, 2.357838207562005;Dénomination actuelle
12814;;;RUE PHILIPPE DE CHAMPAGNE;rue Philippe de Champagne;1867-03-02;19;Voie publique de la Ville de Paris;rue;;Philippe de Champagne;13e;Salpêtrière;112C3,111D4;boulevard de l'Hôpital, 144.;avenue des Gobelins, 77.;95;14.0;12;9;Non retenus au POS et non repris au PLU : Décret du 28 août 1868. Décret du 2 mars 1902, raccordements du côté pair avec le boulevard de l'Hôpital et avec l'avenue des Gobelins.;;;Décret du 2 mars 1867.;Décret du 28 août 1868.;;;"Philippe de Champagne (1602-1674), peintre ; quartier où ont été groupés des noms de peintres.";;Décret du 2 mars 1902.;;;"{""coordinates"": [[[2.3561652390765913, 48.83291631996164], [2.3560685412005915, 48.83278031200976], [2.355882401437233, 48.832782583426194], [2.355882405398209, 48.83279229574449], [2.355858826915474, 48.83279248803918], [2.3558588265681784, 48.8327941698593], [2.355830915476645, 48.83279439997196], [2.355831011187733, 48.832792277074795], [2.3557947094099148, 48.83279252584329], [2.3557947095621863, 48.83279438754006], [2.3557629435833616, 48.83279458158464], [2.3557629426402436, 48.83279234304754], [2.355738506477375, 48.832792599050876], [2.355738600522459, 48.83279017035897], [2.35534812838116, 48.83279451039399], [2.355348129622382, 48.83279749451063], [2.3553105352835044, 48.832797500530475], [2.355310536136175, 48.83279919404893], [2.355295403470483, 48.832799315737965], [2.355295402735437, 48.8327975026039], [2.355258061780282, 48.83279750907374], [2.3552580621959485, 48.83279967835662], [2.355243019553615, 48.8327996809081], [2.3552430191384737, 48.83279751162521], [2.355202724695268, 48.83279751834495], [2.355202722295811, 48.832787690015635], [2.355121479662536, 48.83278824220958], [2.3551214797234383, 48.83278636522449], [2.3551038718517012, 48.83278636831728], [2.3551038726677893, 48.832788394602495], [2.3550104206764413, 48.8327890850458], [2.3548313749927656, 48.83294518536361], [2.3548687481409813, 48.83292948699226], [2.355027018569033, 48.832928075960815], [2.3552305812415835, 48.83292692777787], [2.355441485259062, 48.83292601127692], [2.355628395265726, 48.83291988279923], [2.3556498629708633, 48.83291974033536], [2.3560905796485483, 48.832916815616954], [2.3561652390765913, 48.83291631996164]]], ""type"": ""Polygon""}";48.8328591176549, 2.355517857596966;Dénomination actuelle
13343;;;RUE RUBENS;rue Rubens;1864-08-24;19;Voie publique de la Ville de Paris;rue;;Rubens;13e;Salpêtrière;111D4,112C3;rue du Banquier, 31.;boulevard de l'Hôpital, 140.;211;10.0;26;25;Non retenus au POS et non repris au PLU :Ordonnance du 24 avril 1837, sauf du côté pair, entre la rue Primatice et le boulevard de l'Hôpital. Décret du 8 janvier 1880, le surplus.;;Précédemment rue des Vignes de l'Hôpital. Elle est indiquée à l'état de chemin sur le plan de Jouvin de Rochefort (1672) et sur celui de Roussel (1730).;Décret du 24 août 1864.;;"Largeur : 10 m, entre les rues du Banquier et Véronèse ; 12 m, entre la rue Véronèse et le boulevard de l'Hôpital.";Arrêté du 13 juillet 1892.;"Pierre Paul Rubens (1577-1640), peintre flamand ; quartier où ont été groupés des noms de peintres.";;Décret du 8 janvier 1880.;;;"{""coordinates"": [[[2.3566602911096814, 48.83347826220682], [2.356554700328547, 48.833336078591195], [2.3565483086539816, 48.83336364225866], [2.356483503390329, 48.833414148452235], [2.3563851452876334, 48.8334908040016], [2.3562790837341185, 48.83357346176887], [2.3562403284714115, 48.83360366625629], [2.3562079186845897, 48.83362892417845], [2.3561654699358083, 48.83366200652794], [2.3561360478115216, 48.83368493675563], [2.356097834371881, 48.83371471781049], [2.3560947104495638, 48.833717151774074], [2.355897499205651, 48.833870846182485], [2.355818205019059, 48.83393264199942], [2.355706138576484, 48.834019978688936], [2.355543473193448, 48.83414674799019], [2.3554423742287645, 48.83425753969641], [2.355437511849466, 48.83426129893704], [2.3551639138735854, 48.8344727947568], [2.3551537488827274, 48.83448065260092], [2.355118366332556, 48.83450825502964], [2.3550556595828818, 48.834557172649866], [2.355040775238235, 48.83456878418378], [2.3550315007241003, 48.83457601905933], [2.355013849970767, 48.83458978854705], [2.3549809723056843, 48.8346154366221], [2.3549828803012685, 48.83461593077174], [2.354746246408181, 48.83480056292085], [2.354701021458563, 48.83480364570272], [2.354838044460493, 48.834867751675155], [2.3549583215162833, 48.83477399186838], [2.3550202582118307, 48.83472534895859], [2.3551250925561655, 48.8346425805266], [2.355537670934679, 48.834322838339915], [2.355637191551118, 48.83424240884528], [2.35631969790749, 48.83371045193374], [2.356450933324576, 48.83360888274793], [2.356617994932441, 48.83347848617962], [2.3566602911096814, 48.83347826220682]]], ""type"": ""Polygon""}";48.834087778140834, 2.355734984619752;Dénomination actuelle
9282;;;RUE BERBIER DU METS;rue Berbier du Mets;1935-12-19;20;Voie publique de la Ville de Paris;rue;;Berbier du Mets;13e;Croulebarbe;111D3;rue de Croulebarbe, 26.;boulevard Arago, 17.;338;15.0;26;23;Non retenus au POS et non repris au PLU : Décret du 4 février 1925. Arrêté du 13 octobre 1937, au droit du Mobilier national.;;Créée sur l'emplacement d'un ancien lit de la Bièvre. Précédemment, ruelle des Gobelins.;Arrêté du 19 décembre 1935.;;;;"Berbier du Mets (1626-1709), le premier garde général du Mobilier de la Couronne ; voisinage du Mobilier national.";;Décret du 4 février 1925. Arrêté du 13 octobre 1937, au droit du Mobilier national.;;;"{""coordinates"": [[[2.349892395532652, 48.83585864006684], [2.3499911809211906, 48.83573748702999], [2.3500010161896787, 48.83572709161775], [2.3500506812506425, 48.83567459376657], [2.3501416011271083, 48.83558095989108], [2.350197706659614, 48.83552424655015], [2.350219175808258, 48.835502546304134], [2.3502480018646907, 48.83547340777018], [2.350352064830895, 48.83536821988033], [2.350341103279967, 48.83536383707955], [2.3503973550490094, 48.83530989268699], [2.3503992067789112, 48.835308013170426], [2.3504679670390103, 48.83523827181376], [2.3504866941829485, 48.83521925023409], [2.3505266376247786, 48.83517868076423], [2.3506159841116454, 48.83513487286918], [2.35071659384142, 48.835085540968265], [2.350764704083189, 48.835061950859824], [2.3508281766125525, 48.835014162953854], [2.3509385913142777, 48.834937878732916], [2.351024804454791, 48.834857891703145], [2.3511133828914366, 48.834802597919236], [2.3511996844904224, 48.83472257885902], [2.3513560738041215, 48.83457926721464], [2.3513523340836247, 48.83457292167164], [2.3513500339272535, 48.83456628354614], [2.3513492219702314, 48.834559495202235], [2.351349916844048, 48.83455270153946], [2.3513521017727577, 48.834546046365865], [2.351355731372968, 48.83453967333426], [2.351360729052322, 48.83453371603517], [2.351366985580324, 48.83452830338522], [2.3513743714829176, 48.834523548902], [2.3513827260885782, 48.83451955514139], [2.3513918712290844, 48.83451640747654], [2.351401615348944, 48.834514172321164], [2.3514138976969603, 48.83449747108675], [2.3514461001495404, 48.83445330320881], [2.3514560419275785, 48.834439669617254], [2.3515188015203505, 48.83435588470616], [2.351578075136433, 48.83427534736788], [2.351626141599995, 48.83421082636934], [2.3516579097590067, 48.834168358576925], [2.3516433880025387, 48.83416445754037], [2.3516594666871513, 48.83413431239674], [2.3516749828703025, 48.83413712428921], [2.35168855198526, 48.83409669114247], [2.351715554575728, 48.83401631965771], [2.351735587666169, 48.833954546222664], [2.3517485304033943, 48.833916162928695], [2.351753081306682, 48.833900003439304], [2.35175450514324, 48.833894948605156], [2.3517599410694614, 48.83387181750232], [2.351768476744652, 48.83383550495007], [2.3517781904756, 48.83379538635297], [2.3517828186848693, 48.833775637895656], [2.351786557776498, 48.83375968445591], [2.351784590482824, 48.833737670715834], [2.351784006944357, 48.83373222996441], [2.351777814982805, 48.83367439841428], [2.3517750793416217, 48.83364635922789], [2.3517708323322353, 48.8336028076145], [2.3517696055083954, 48.83360078457846], [2.351763568030164, 48.833589580785194], [2.3517263594005353, 48.833517445722734], [2.3516987049235385, 48.83346370867652], [2.351681939512496, 48.83343024038638], [2.3516799369749686, 48.83343067202172], [2.351677844233696, 48.83342663599773], [2.3516665796393355, 48.83340491001578], [2.3516432609730358, 48.833359544405255], [2.351636022359222, 48.83334546240342], [2.351622502622674, 48.83332038393061], [2.3516189287777314, 48.8333062930138], [2.351616149564034, 48.833301589531814], [2.3515884259923596, 48.83324564951668], [2.351598477272611, 48.833242905167054], [2.3512785740484556, 48.83305322461143], [2.3513059124615716, 48.833116105759345], [2.3513077230574297, 48.83314346812465], [2.3513059268694754, 48.83316607214616], [2.3512843090851745, 48.83318986825051], [2.351256206235566, 48.83322365805171], [2.351212973810382, 48.83328029251993], [2.350987403901087, 48.83321634396055], [2.350964100485991, 48.833257340307355], [2.351075670645297, 48.83328687572418], [2.3512307672202333, 48.833327350543286], [2.3514484482181652, 48.83338673742187], [2.351461349613704, 48.83341355014319], [2.3514622579410425, 48.83341543924841], [2.3514641503525473, 48.83341936986313], [2.3515235507879004, 48.83354451367989], [2.3515560312254093, 48.833611991417115], [2.351557586325633, 48.83362179308545], [2.351567258405458, 48.833761575196895], [2.351574177914887, 48.83380744638501], [2.3515432565296708, 48.833899365198036], [2.351502739662786, 48.83402252643063], [2.3514746892026297, 48.83410781713378], [2.351455544093057, 48.83413476185938], [2.3514032287392816, 48.834205272038034], [2.351360103330882, 48.834262012319826], [2.3513201651469884, 48.83431617159153], [2.3512429311091063, 48.834420470749876], [2.3511716333405284, 48.83451770063404], [2.351144106874434, 48.83454233432524], [2.351087333095918, 48.83459314286357], [2.350900619064303, 48.83475990972168], [2.350875888405517, 48.83478286230984], [2.3508540015118475, 48.834802380347234], [2.3508406787397993, 48.83481312025361], [2.3508110343663917, 48.83483866781932], [2.3505432986371857, 48.83502577063299], [2.350498558717308, 48.83505866313817], [2.3503726304141104, 48.83515118623406], [2.3502610450614765, 48.83523297129913], [2.3502088654937094, 48.835271168225844], [2.350198839924504, 48.83527771422681], [2.3501535441219334, 48.835323797314366], [2.350125506397824, 48.83535232134694], [2.3500184363761822, 48.835461649583706], [2.3498952399781636, 48.835586114575584], [2.349784218274677, 48.83569761106882], [2.3497231913103236, 48.83575999135509], [2.349700964200837, 48.83578301485544], [2.3496775681839446, 48.83580723624997], [2.349634449929258, 48.83585037024335], [2.3496313295952187, 48.8358487694898], [2.3496110809704764, 48.83587667650621], [2.349853581052746, 48.83595377920367], [2.349892395532652, 48.83585864006684]]], ""type"": ""Polygon""}";48.83450329988567, 2.3509795826300186;Dénomination actuelle
11070;;;VILLA DES GOBELINS;villa des Gobelins;;;Voie publique de la Ville de Paris;villa;des;Gobelins;13e;Croulebarbe;111D4;avenue des Gobelins, 52.;en impasse;75;8.0;10;9;;;;;Arrêté du 6 juillet 1966.;;;Voisinage de la manufacture des Gobelins.;;Arrêté du 6 juillet 1966.;;;"{""coordinates"": [[[2.3528272850446283, 48.83344590005316], [2.35280631845659, 48.83343495909107], [2.3527523411071503, 48.833497880109434], [2.3528784736332033, 48.83356645872472], [2.3530054933098388, 48.833635261446055], [2.353155075383394, 48.833716651310056], [2.3533075049837873, 48.83379959609507], [2.3534083251897293, 48.83385402239051], [2.3535655525024786, 48.833901364252036], [2.353611069333239, 48.83383612356394], [2.353577365109275, 48.83382612929234], [2.3534662667567954, 48.83379272880084], [2.3533774356667063, 48.83374517919204], [2.3532242160892944, 48.83366178503209], [2.3530697845641684, 48.83357805853995], [2.352939262704668, 48.833506926455755], [2.3528272850446283, 48.83344590005316]]], ""type"": ""Polygon""}";48.83367793226382, 2.3531743804059526;Dénomination actuelle
13018;;;SQUARE DE PORT-ROYAL;square de Port-Royal;;;Voie privée non inscrite à la liste des voies privées ouvertes à la circulation publique;square;de;Port-Royal;13e;Croulebarbe;111C1;rue de la Santé, 15.;en impasse;126;13.0;16;13;;;;;;;;Voisinage du boulevard de Port-Royal.;;;;Ouvert en 1913.;"{""coordinates"": [[[2.3422530345289654, 48.83704563265082], [2.342406749961348, 48.83701159583109], [2.3424103339914755, 48.837018762811255], [2.342445466213853, 48.837011028019816], [2.3426830836624744, 48.836958703824955], [2.3427584500087257, 48.83710824034564], [2.3431871359265872, 48.83701604901639], [2.3431629906674325, 48.83696462098551], [2.3431145759438055, 48.83686536169096], [2.3432466187795815, 48.83683637074069], [2.343337261757164, 48.83681646442927], [2.3434593061535325, 48.836791105762714], [2.3436755340042574, 48.836744006236096], [2.3435969436379502, 48.83663967818818], [2.3433515499787707, 48.83669248224536], [2.343320014849815, 48.83669881335164], [2.343324074497163, 48.836707167384745], [2.3431694601106874, 48.83674054840616], [2.343165223150937, 48.83673242812931], [2.3431219729866966, 48.83674240294667], [2.343088951513936, 48.836750022718334], [2.3430928210608464, 48.83675778303151], [2.342938042315676, 48.83679099287072], [2.3429341730121345, 48.83678299871831], [2.3428939312036334, 48.83679209061069], [2.3428554219734625, 48.83680078189633], [2.3428589235286084, 48.83680865891177], [2.3427035597736925, 48.83684177889445], [2.3426994992048362, 48.83683426124799], [2.342658696616274, 48.83684319618776], [2.3426242345261956, 48.836850740461614], [2.3426279273479125, 48.8368581409704], [2.342474035058788, 48.836892204984025], [2.3424701508333974, 48.8368842107349], [2.342428959508275, 48.83689328286147], [2.342392120999248, 48.83690139049915], [2.342395445705036, 48.8369090255249], [2.34224080288371, 48.83694348443176], [2.3422358296565537, 48.836934770987995], [2.342192019831721, 48.83694437095267], [2.341994956489831, 48.83698757014066], [2.3420096125778023, 48.837105707191554], [2.342220519032873, 48.83706074310169], [2.342257026592034, 48.83705296106733], [2.3422530345289654, 48.83704563265082]]], ""type"": ""Polygon""}";48.83690202236104, 2.3428541195034747;Dénomination actuelle
