id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;geo
75105_2580_00015;751052580;15;;Rue Daubenton;75005;75105;Paris 5e Arrondissement;;;652594.48;6860329.23;2.3541;48.841267;parcelle;;;PARIS;RUE DAUBENTON;commune;commune;1;;48.841267, 2.3541
75105_2580_00038;751052580;38;;Rue Daubenton;75005;75105;Paris 5e Arrondissement;;;652452.57;6860297.7;2.35217;48.840973;parcelle;;;PARIS;RUE DAUBENTON;commune;commune;1;;48.840973, 2.35217
75105_2580_00042;751052580;42;;Rue Daubenton;75005;75105;Paris 5e Arrondissement;;;652385.76;6860251.55;2.351265;48.840553;parcelle;;;PARIS;RUE DAUBENTON;commune;commune;1;;48.840553, 2.351265
75105_2580_00043;751052580;43;;Rue Daubenton;75005;75105;Paris 5e Arrondissement;;;652310.13;6860203.8;2.35024;48.840118;parcelle;;;PARIS;RUE DAUBENTON;commune;commune;1;;48.840118, 2.35024
75105_4108_00020;751054108;20;;Rue Geoffroy-Saint-Hilaire;75005;75105;Paris 5e Arrondissement;;;652769.92;6860187.03;2.356506;48.840001;parcelle;;;PARIS;RUE GEOFFROY SAINT HILAIRE;commune;commune;1;;48.840001, 2.356506
75105_4108_00029;751054108;29;;Rue Geoffroy-Saint-Hilaire;75005;75105;Paris 5e Arrondissement;;;652735.22;6860252.91;2.356026;48.840591;parcelle;;;PARIS;RUE GEOFFROY SAINT HILAIRE;commune;commune;1;;48.840591, 2.356026
75105_4108_00034_b;751054108;34;b;Rue Geoffroy-Saint-Hilaire;75005;75105;Paris 5e Arrondissement;;;652743.44;6860305.78;2.356132;48.841067;parcelle;;;PARIS;RUE GEOFFROY SAINT HILAIRE;commune;commune;1;;48.841067, 2.356132
75105_8813_00016;751058813;16;;Rue Santeuil;75005;75105;Paris 5e Arrondissement;;;652615.67;6860209.19;2.354402;48.840189;parcelle;;;PARIS;RUE SANTEUIL;commune;commune;1;;48.840189, 2.354402
75105_8813_00022;751058813;22;;Rue Santeuil;75005;75105;Paris 5e Arrondissement;;;652600.34;6860246.68;2.354189;48.840525;parcelle;;;PARIS;RUE SANTEUIL;commune;commune;1;;48.840525, 2.354189
75105_3573_00019;751053573;19;;Rue du Fer à Moulin;75005;75105;Paris 5e Arrondissement;;;652590.73;6860076.74;2.354077;48.838996;parcelle;;;PARIS;RUE DU FER A MOULIN;commune;commune;1;;48.838996, 2.354077
75105_3573_00020;751053573;20;;Rue du Fer à Moulin;75005;75105;Paris 5e Arrondissement;;;652604.77;6860097.3;2.354266;48.839182;parcelle;;;PARIS;RUE DU FER A MOULIN;commune;commune;1;;48.839182, 2.354266
75105_3573_00036;751053573;36;;Rue du Fer à Moulin;75005;75105;Paris 5e Arrondissement;;;652499.72;6860068.47;2.352838;48.838915;parcelle;;;PARIS;RUE DU FER A MOULIN;commune;commune;1;;48.838915, 2.352838
75105_3573_00041;751053573;41;;Rue du Fer à Moulin;75005;75105;Paris 5e Arrondissement;;;652382.5;6860023.96;2.351246;48.838506;parcelle;;;PARIS;RUE DU FER A MOULIN;commune;commune;1;;48.838506, 2.351246
75105_3573_00042;751053573;42;;Rue du Fer à Moulin;75005;75105;Paris 5e Arrondissement;;;652453.84;6860058.84;2.352214;48.838825;parcelle;;;PARIS;RUE DU FER A MOULIN;commune;commune;1;;48.838825, 2.352214
75105_3573_00046;751053573;46;;Rue du Fer à Moulin;75005;75105;Paris 5e Arrondissement;;;652416.97;6860047.47;2.351713;48.83872;parcelle;;;PARIS;RUE DU FER A MOULIN;commune;commune;1;;48.83872, 2.351713
75113_7159_00005;751137159;5;;Rue Paul Gervais;75013;75113;Paris 13e Arrondissement;;;652085.54;6859210.11;2.347292;48.831165;parcelle;;;PARIS;RUE PAUL GERVAIS;commune;commune;1;;48.831165, 2.347292
75113_7159_00016;751137159;16;;Rue Paul Gervais;75013;75113;Paris 13e Arrondissement;;;652062.28;6859167.6;2.34698;48.830781;parcelle;;;PARIS;RUE PAUL GERVAIS;commune;commune;1;;48.830781, 2.34698
75113_0402_00006;751130402;6;;Boulevard Arago;75013;75113;Paris 13e Arrondissement;;;652308.06;6859800.51;2.350257;48.836491;parcelle;;;PARIS;BOULEVARD ARAGO;commune;commune;1;;48.836491, 2.350257
75113_0402_00025;751130402;25;;Boulevard Arago;75013;75113;Paris 13e Arrondissement;;;652218.14;6859711.62;2.349042;48.835685;parcelle;;;PARIS;BOULEVARD ARAGO;commune;commune;1;;48.835685, 2.349042
75113_0402_00035;751130402;35;;Boulevard Arago;75013;75113;Paris 13e Arrondissement;;;652124.56;6859667.58;2.347772;48.835282;parcelle;;;PARIS;BOULEVARD ARAGO;commune;commune;1;;48.835282, 2.347772
75113_0402_00046;751130402;46;;Boulevard Arago;75013;75113;Paris 13e Arrondissement;;;651938.96;6859655.66;2.345245;48.835161;parcelle;;;PARIS;BOULEVARD ARAGO;commune;commune;1;;48.835161, 2.345245
75113_0402_00055;751130402;55;;Boulevard Arago;75013;75113;Paris 13e Arrondissement;;;651888.45;6859610.6;2.344562;48.834752;parcelle;;;PARIS;BOULEVARD ARAGO;commune;commune;1;;48.834752, 2.344562
75113_0402_00065;751130402;65;;Boulevard Arago;75013;75113;Paris 13e Arrondissement;;;651780.56;6859604.38;2.343093;48.834688;parcelle;;;PARIS;BOULEVARD ARAGO;commune;commune;1;;48.834688, 2.343093
75113_0402_00023_b;751130402;23;b;Boulevard Arago;75013;75113;Paris 13e Arrondissement;;;652230.97;6859717.74;2.349216;48.835741;parcelle;;;PARIS;BOULEVARD ARAGO;commune;commune;1;;48.835741, 2.349216
75113_7076_00033;751137076;33;;Rue Pascal;75013;75113;Paris 13e Arrondissement;;;652211.79;6859830.88;2.348942;48.836757;parcelle;;;PARIS;RUE PASCAL;commune;commune;1;;48.836757, 2.348942
75113_7076_00038;751137076;38;;Rue Pascal;75013;75113;Paris 13e Arrondissement;;;652192.99;6859820.8;2.348687;48.836665;parcelle;;;PARIS;RUE PASCAL;commune;commune;1;;48.836665, 2.348687
75113_7076_00039;751137076;39;;Rue Pascal;75013;75113;Paris 13e Arrondissement;;;652194.23;6859775.65;2.348709;48.836259;parcelle;;;PARIS;RUE PASCAL;commune;commune;1;;48.836259, 2.348709
75113_7076_00040;751137076;40;;Rue Pascal;75013;75113;Paris 13e Arrondissement;;;652186.51;6859800.62;2.348601;48.836483;parcelle;;;PARIS;RUE PASCAL;commune;commune;1;;48.836483, 2.348601
75113_0541_00066;751130541;66;;Boulevard Auguste Blanqui;75013;75113;Paris 13e Arrondissement;;;652149.4;6859102.28;2.348174;48.8302;parcelle;;;PARIS;BOULEVARD AUGUSTE BLANQUI;commune;commune;1;;48.8302, 2.348174
75113_0541_00074;751130541;74;;Boulevard Auguste Blanqui;75013;75113;Paris 13e Arrondissement;;;652051.52;6859144.23;2.346836;48.83057;parcelle;;;PARIS;BOULEVARD AUGUSTE BLANQUI;commune;commune;1;;48.83057, 2.346836
75113_0541_00084;751130541;84;;Boulevard Auguste Blanqui;75013;75113;Paris 13e Arrondissement;;;652007.11;6859163.28;2.346229;48.830738;parcelle;;;PARIS;BOULEVARD AUGUSTE BLANQUI;commune;commune;1;;48.830738, 2.346229
75113_0541_00092;751130541;92;;Boulevard Auguste Blanqui;75013;75113;Paris 13e Arrondissement;;;651941.06;6859191.73;2.345326;48.830989;parcelle;;;PARIS;BOULEVARD AUGUSTE BLANQUI;commune;commune;1;;48.830989, 2.345326
75113_0541_00104;751130541;104;;Boulevard Auguste Blanqui;75013;75113;Paris 13e Arrondissement;;;651835.06;6859236.98;2.343877;48.831388;parcelle;;;PARIS;BOULEVARD AUGUSTE BLANQUI;commune;commune;1;;48.831388, 2.343877
75113_0541_00116;751130541;116;;Boulevard Auguste Blanqui;75013;75113;Paris 13e Arrondissement;;;651769.96;6859264.88;2.342987;48.831634;parcelle;;;PARIS;BOULEVARD AUGUSTE BLANQUI;commune;commune;1;;48.831634, 2.342987
75113_0541_00110_t;751130541;110;t;Boulevard Auguste Blanqui;75013;75113;Paris 13e Arrondissement;;;651799.51;6859252.18;2.343391;48.831522;parcelle;;;PARIS;BOULEVARD AUGUSTE BLANQUI;commune;commune;1;;48.831522, 2.343391
75113_5570_00104;751135570;104;;Rue Léon-Maurice Nordmann;75013;75113;Paris 13e Arrondissement;;;651969.14;6859586.47;2.345664;48.834541;parcelle;;;PARIS;RUE LEON MAURICE NORDMANN;commune;commune;1;;48.834541, 2.345664
75113_5570_00123;751135570;123;;Rue Léon-Maurice Nordmann;75013;75113;Paris 13e Arrondissement;;;651925.12;6859545.03;2.345069;48.834165;parcelle;;;PARIS;RUE LEON MAURICE NORDMANN;commune;commune;1;;48.834165, 2.345069
75113_5570_00133;751135570;133;;Rue Léon-Maurice Nordmann;75013;75113;Paris 13e Arrondissement;;;651855.41;6859513.36;2.344123;48.833875;parcelle;;;PARIS;RUE LEON MAURICE NORDMANN;commune;commune;1;;48.833875, 2.344123
75113_5570_00138;751135570;138;;Rue Léon-Maurice Nordmann;75013;75113;Paris 13e Arrondissement;;;651824.1;6859516.62;2.343696;48.833902;parcelle;;;PARIS;RUE LEON MAURICE NORDMANN;commune;commune;1;;48.833902, 2.343696
75113_4201_00006;751134201;6;;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651945.32;6859873.67;2.345307;48.837122;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.837122, 2.345307
75113_4201_00024;751134201;24;;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651922.24;6859701.73;2.345012;48.835574;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.835574, 2.345012
75113_4201_00027;751134201;27;;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651915.1;6859522.54;2.344935;48.833962;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.833962, 2.344935
75113_4201_00036;751134201;36;;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651897.29;6859517.12;2.344693;48.833912;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.833912, 2.344693
75113_4201_00043;751134201;43;;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651898.52;6859400.58;2.344723;48.832864;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.832864, 2.344723
75113_4201_00049;751134201;49;;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651893.44;6859362.93;2.344658;48.832525;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.832525, 2.344658
75113_4201_00053;751134201;53;;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651889.38;6859333.38;2.344606;48.832259;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.832259, 2.344606
75113_4201_00055;751134201;55;;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651887.73;6859321.28;2.344585;48.83215;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.83215, 2.344585
75113_4201_00015_b;751134201;15;b;Rue de la Glacière;75013;75113;Paris 13e Arrondissement;;;651932.96;6859676.4;2.345161;48.835347;parcelle;;;PARIS;RUE DE LA GLACIERE;commune;commune;1;;48.835347, 2.345161
75113_4649_00050;751134649;50;;Boulevard de l'Hôpital;75013;75113;Paris 13e Arrondissement;;;653067.31;6860047.61;2.360573;48.838769;parcelle;;;PARIS;BOULEVARD DE L HOPITAL;commune;commune;1;;48.838769, 2.360573
75113_4649_00086;751134649;86;;Boulevard de l'Hôpital;75013;75113;Paris 13e Arrondissement;;;652980.23;6859873.19;2.359406;48.837194;parcelle;;;PARIS;BOULEVARD DE L HOPITAL;commune;commune;1;;48.837194, 2.359406
75113_4649_00099;751134649;99;;Boulevard de l'Hôpital;75013;75113;Paris 13e Arrondissement;;;653039.76;6859890.61;2.360215;48.837355;parcelle;;;PARIS;BOULEVARD DE L HOPITAL;commune;commune;1;;48.837355, 2.360215
75113_4649_00102;751134649;102;;Boulevard de l'Hôpital;75013;75113;Paris 13e Arrondissement;;;652926.65;6859765.54;2.358688;48.836222;parcelle;;;PARIS;BOULEVARD DE L HOPITAL;commune;commune;1;;48.836222, 2.358688
75113_4649_00116;751134649;116;;Boulevard de l'Hôpital;75013;75113;Paris 13e Arrondissement;;;652856.36;6859651.91;2.357743;48.835195;parcelle;;;PARIS;BOULEVARD DE L HOPITAL;commune;commune;1;;48.835195, 2.357743
75113_4649_00130;751134649;130;;Boulevard de l'Hôpital;75013;75113;Paris 13e Arrondissement;;;652818.83;6859550.69;2.357243;48.834282;parcelle;;;PARIS;BOULEVARD DE L HOPITAL;commune;commune;1;;48.834282, 2.357243
75113_4649_00132;751134649;132;;Boulevard de l'Hôpital;75013;75113;Paris 13e Arrondissement;;;652811.22;6859535.41;2.357141;48.834144;parcelle;;;PARIS;BOULEVARD DE L HOPITAL;commune;commune;1;;48.834144, 2.357141
75113_4649_00171;751134649;171;;Boulevard de l'Hôpital;75013;75113;Paris 13e Arrondissement;;;652753.74;6859318.93;2.356382;48.832193;parcelle;;;PARIS;BOULEVARD DE L HOPITAL;commune;commune;1;;48.832193, 2.356382
75113_2984_00001;751132984;1;;Rue Duméril;75013;75113;Paris 13e Arrondissement;;;652839.97;6859938.15;2.357488;48.837768;parcelle;;;PARIS;RUE DUMERIL;commune;commune;1;;48.837768, 2.357488
75113_2984_00033;751132984;33;;Rue Duméril;75013;75113;Paris 13e Arrondissement;;;652918.51;6859766.16;2.358577;48.836227;parcelle;;;PARIS;RUE DUMERIL;commune;commune;1;;48.836227, 2.358577
75113_2355_00010;751132355;10;;Rue Corvisart;75013;75113;Paris 13e Arrondissement;;;652016.48;6859505.35;2.346318;48.833815;parcelle;;;PARIS;RUE CORVISART;commune;commune;1;;48.833815, 2.346318
75113_2355_00016;751132355;16;;Rue Corvisart;75013;75113;Paris 13e Arrondissement;;;652034.36;6859448.83;2.346568;48.833308;parcelle;;;PARIS;RUE CORVISART;commune;commune;1;;48.833308, 2.346568
75113_4209_00037;751134209;37;;Avenue des Gobelins;75013;75113;Paris 13e Arrondissement;;;652498.93;6859721.55;2.352866;48.835795;parcelle;;;PARIS;AVENUE DES GOBELINS;commune;commune;1;;48.835795, 2.352866
75113_4209_00044;751134209;44;;Avenue des Gobelins;75013;75113;Paris 13e Arrondissement;;;652518.65;6859574.72;2.353151;48.834476;parcelle;;;PARIS;AVENUE DES GOBELINS;commune;commune;1;;48.834476, 2.353151
75113_4209_00031_a;751134209;31;a;Avenue des Gobelins;75013;75113;Paris 13e Arrondissement;;;652488.52;6859803.81;2.352715;48.836534;parcelle;;;PARIS;AVENUE DES GOBELINS;commune;commune;1;;48.836534, 2.352715
75113_4209_00066_b;751134209;66;b;Avenue des Gobelins;75013;75113;Paris 13e Arrondissement;;;652598.09;6859397.26;2.354253;48.832886;parcelle;;;PARIS;AVENUE DES GOBELINS;commune;commune;1;;48.832886, 2.354253
75113_9928_00003;751139928;3;;Rue Vulpian;75013;75113;Paris 13e Arrondissement;;;652051.5;6859329.04;2.346815;48.832232;parcelle;;;PARIS;RUE VULPIAN;commune;commune;1;;48.832232, 2.346815
75113_9928_00018;751139928;18;;Rue Vulpian;75013;75113;Paris 13e Arrondissement;;;652013.56;6859259.52;2.346306;48.831604;parcelle;;;PARIS;RUE VULPIAN;commune;commune;1;;48.831604, 2.346306
75113_6973_00021;751136973;21;;Rue Oudry;75013;75113;Paris 13e Arrondissement;;;652724.79;6859837.35;2.35593;48.836853;parcelle;;;PARIS;RUE OUDRY;commune;commune;1;;48.836853, 2.35593
75113_6973_00027;751136973;27;;Rue Oudry;75013;75113;Paris 13e Arrondissement;;;652709.23;6859856.38;2.355716;48.837023;parcelle;;;PARIS;RUE OUDRY;commune;commune;1;;48.837023, 2.355716
75113_0656_00003;751130656;3;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652866.22;6859762.47;2.357865;48.83619;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.83619, 2.357865
75113_0656_00008;751130656;8;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652840.95;6859760.56;2.357521;48.836171;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.836171, 2.357521
75113_0656_00015;751130656;15;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652781.15;6859710.01;2.356712;48.835712;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.835712, 2.356712
75113_0656_00034;751130656;34;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652641.91;6859630.53;2.354824;48.834987;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.834987, 2.354824
75113_0656_00035;751130656;35;;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652602.44;6859588.04;2.354291;48.834602;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.834602, 2.354291
75113_0656_00021_z;751130656;21;z;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652731;6859681.4;2.356032;48.835451;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.835451, 2.356032
75113_0656_00020_a;751130656;20;a;Rue du Banquier;75013;75113;Paris 13e Arrondissement;;;652710.28;6859714.59;2.355746;48.835748;parcelle;;;PARIS;RUE DU BANQUIER;commune;commune;1;;48.835748, 2.355746
75113_8115_00009;751138115;9;;Rue de la Reine Blanche;75013;75113;Paris 13e Arrondissement;;;652622.36;6859842.41;2.354534;48.836891;parcelle;;;PARIS;RUE DE LA REINE BLANCHE;commune;commune;1;;48.836891, 2.354534
75113_8115_00021_b;751138115;21;b;Rue de la Reine Blanche;75013;75113;Paris 13e Arrondissement;;;652549.84;6859779.95;2.353553;48.836324;parcelle;;;PARIS;RUE DE LA REINE BLANCHE;commune;commune;1;;48.836324, 2.353553
